episode_frame,episode_time_sec,arm_A_action_j1,arm_A_action_j2,arm_A_action_j3,arm_A_action_j4,arm_A_action_j5,arm_A_action_j6,arm_B_command_j1,arm_B_command_j2,arm_B_command_j3,arm_B_command_j4,arm_B_command_j5,arm_B_command_j6,arm_C_actual_j1,arm_C_actual_j2,arm_C_actual_j3,arm_C_actual_j4,arm_C_actual_j5,arm_C_actual_j6,hand_A_action_j1,hand_A_action_j2,hand_A_action_j3,hand_A_action_j4,hand_A_action_j5,hand_A_action_j6,hand_B_target_j1,hand_B_target_j2,hand_B_target_j3,hand_B_target_j4,hand_B_target_j5,hand_B_target_j6,hand_C_actual_j1,hand_C_actual_j2,hand_C_actual_j3,hand_C_actual_j4,hand_C_actual_j5,hand_C_actual_j6,j6_hold_enabled,j6_action_deg,j6_effective_target_deg,j6_actual_deg
28,0.9333333373069763,100.55054070712967,101.78818684039176,-12.011659104461117,39.05165740052665,-83.24274622337678,16.623453693248628,100.55054070712967,101.78818684039176,-12.011659104461117,39.05165740052665,-83.24274622337678,16.623453693248628,100.626203,100.818339,-11.066576,40.002532,-83.661711,16.769362,165.50407303947398,164.84895309652137,166.9113719758743,155.21088624994874,136.7080736928915,95.00001206679983,165.50407303947398,164.8489530965214,166.9113719758743,155.21088624994871,136.7080736928915,179.8,164.7,162.9,143.9,146.7,134.9,179.8,True,95.00001206679983,179.8,179.8
29,0.9666666388511658,100.54400898826518,101.9390466278497,-12.175696921207074,38.799670562228116,-83.22366672879893,16.667800626591752,100.54400898826518,101.9390466278497,-12.175696921207074,38.799670562228116,-83.22366672879893,16.667800626591752,100.63615,100.938954,-11.182854,39.852654,-83.648471,16.802815,167.56821079221228,167.69758466235282,171.3566077336173,157.1832934596866,136.73591944173486,95.00001206679983,167.56821079221228,167.69758466235282,171.3566077336173,157.18329345968658,136.73591944173486,179.8,162.9,161.5,152.8,149.5,134.9,179.8,True,95.00001206679983,179.8,179.8
30,1.0,100.52389816965608,102.03157931176332,-12.304211354654916,38.77864301114682,-83.1863098805564,16.673816683440627,100.52389816965608,102.03157931176332,-12.304211354654916,38.77864301114682,-83.1863098805564,16.673816683440627,100.643852,101.095101,-11.335434,39.657162,-83.597529,16.79277,169.1200096845446,169.84354078823583,175.92543048777,159.60908217271148,136.69936473440552,95.00001206679983,169.1200096845446,169.84354078823583,175.92543048777,159.60908217271148,136.69936473440552,179.8,162.9,161.5,152.8,149.5,134.9,179.8,True,95.00001206679983,179.8,179.8
31,1.0333333015441895,100.48258791262715,102.13087289765951,-12.468592946077951,38.98634021188174,-83.04106507949075,16.680176514966575,100.48258791262715,102.13087289765951,-12.468592946077951,38.98634021188174,-83.04106507949075,16.680176514966575,100.641926,101.242832,-11.468908,39.495121,-83.524568,16.743411,170.963501390378,172.30731660307785,178.57117769834562,162.38294274627833,136.67461295765588,95.00001206679983,170.963501390378,172.30731660307785,178.5711776983456,162.38294274627833,136.67461295765585,179.8,162.9,161.5,152.8,149.5,134.9,179.8,True,95.00001206679983,179.8,179.8
32,1.0666667222976685,100.45617455827161,102.20570118570359,-12.614869071174848,39.16132152251469,-82.86556810684216,16.597040338893095,100.45617455827161,102.20570118570359,-12.614869071174848,39.16132152251469,-82.86556810684216,16.597040338893095,100.624599,101.423288,-11.647964,39.330038,-83.422168,16.671109,172.10236959975958,174.09242390958744,180.05571134552955,164.61971268268954,136.5100594788943,95.00001206679983,172.10236959975958,174.09242390958744,180.05571134552955,164.61971268268957,136.5100594788943,179.8,162.9,161.5,152.8,149.5,134.9,179.8,True,95.00001206679983,179.8,179.8
33,1.100000023841858,100.4482104449193,102.24918868235402,-12.737424743553332,39.29820113977144,-82.64085405959185,16.7078503764714,100.4482104449193,102.24918868235402,-12.737424743553332,39.29820113977144,-82.64085405959185,16.7078503764714,100.600533,101.576629,-11.807096,39.206226,-83.343965,16.626948,173.1221198835334,175.86790552513884,183.1688775253729,167.06200258021423,136.4704107994712,95.00001206679983,173.1221198835334,175.86790552513884,183.16887752537286,167.06200258021423,136.47041079947124,179.8,162.9,161.5,152.8,149.5,134.9,179.8,True,95.00001206679983,179.8,179.8
34,1.1333333253860474,100.46654509436348,102.26649200776696,-12.793001649681022,39.312124014193124,-82.40794671587118,16.80313325780165,100.46654509436348,102.26649200776696,-12.793001649681022,39.312124014193124,-82.40794671587118,16.80313325780165,100.575183,101.715633,-11.945482,39.097619,-83.280981,16.615676,173.57590245727704,177.98194790183305,185.03442810631884,169.30026220689277,136.4715567150615,95.00001206679983,173.575902457277,177.98194790183305,185.03442810631884,169.30026220689277,136.4715567150615,179.8,168.3,168.9,164.8,158.6,134.9,179.8,True,95.00001206679983,179.8,179.8
35,1.1666666269302368,100.490723913318,102.26064783825663,-12.813742721864758,39.31905680351421,-82.20735419179587,16.77998576287837,100.490723913318,102.26064783825663,-12.813742721864758,39.31905680351421,-82.20735419179587,16.77998576287837,100.550475,101.841236,-12.087418,39.015078,-83.222294,16.623729,173.79798089866975,179.22881865559674,186.39921357432047,171.5103323100509,136.40807299136102,95.00001206679983,173.79798089866972,179.22881865559674,186.39921357432047,171.51033231005087,136.408072991361,179.8,168.3,168.9,164.8,158.6,134.9,179.8,True,95.00001206679983,179.8,179.8
36,1.2000000476837158,100.50373005526748,102.190002142117,-12.796955058467422,39.48361028227578,-82.07883975834804,16.925918113298188,100.50373005526748,102.190002142117,-12.796955058467422,39.48361028227578,-82.07883975834804,16.925918113298188,100.52673,101.952813,-12.236176,38.975545,-83.152679,16.641169,173.99673995780063,180.232869895784,187.53097710704236,174.79676092714178,136.32711405490903,95.00001206679983,173.99673995780063,180.232869895784,187.53097710704236,174.79676092714178,136.32711405490903,179.8,168.3,168.9,164.8,158.6,134.9,179.8,True,95.00001206679983,179.8,179.8
37,1.2333333492279053,100.51094932348612,102.10635030402791,-12.747165026070556,39.66157097344341,-82.07763654697827,17.0069916413092,100.51094932348612,102.10635030402791,-12.747165026070556,39.66157097344341,-82.07763654697827,17.0069916413092,100.505552,102.046937,-12.365829,38.988578,-83.062167,16.654438,174.09242390958744,180.7684135468928,188.16002747031652,176.30237942118657,136.1903490292113,95.00001206679983,174.09242390958744,180.76841354689276,188.1600274703165,176.30237942118654,136.1903490292113,179.8,168.3,168.9,164.8,158.6,134.9,179.8,True,95.00001206679983,179.8,179.8
38,1.2666666507720947,100.52080419756237,102.025735142253,-12.699380345956646,39.87230485049253,-82.11315993027637,16.833098950486995,100.52080419756237,102.025735142253,-12.699380345956646,39.87230485049253,-82.11315993027637,16.833098950486995,100.485015,102.139191,-12.512404,39.062865,-82.913194,16.671834,174.2221988501846,181.56047040288163,189.47989304717987,177.9207560093131,136.15029927933165,95.00001206679983,174.2221988501846,181.56047040288163,189.47989304717987,177.9207560093131,136.15029927933165,179.8,168.3,168.9,164.8,158.6,134.9,179.8,True,95.00001206679983,179.8,179.8
